SEM,Ordem Venda,Item,OF Embalagem,Código Material,Descrição Material,Acab.,QTD,Total,CT,SERRA/LAM,,TOTAL,OF Lixadora,,TOTAL,BLOCO,,QTD BL.,ESTADO,OBSERVAÇÕES,Cliente
9,,0,1600038227,70000531,"PL CC 8004/000 810X610X0,8 01",0,7 500,0,CNMSERPL,1600041996,0.15,0,1600037429,0.26,0,70013436,BL CC 8403/ORT 950x650X210 NE,2.3,,,
9,3820007204,10,1600035311,70004727,"PL CC 8405/000 940X640X3,0 OF",0,100,0,CNMLAMPL,1600035312,0.18,0,,,0,70001631,BL CC 8405/000 940X640X250 NE,1.3,,,"ORTHOFIX, LDA"
9,3820006957,30,1600032631,70022970,"PL CC 8703/S21 950X650X35,0 01",S21,4,0,CNMSERPL,1600032632,0.07,0,,,0,70005999,BL CC 8703/ORT 950x650X200 NE,1,,,TURBILHAO DE INSP. UNIP. LDA.
9,3820006957,10,1600032626,70022966,"PL CC 8872/S21 940X640X70,0 01",S21,2,0,CNMSERPL,1600032627,0.03,0,,,0,70005853,BL CC 8872/ORT 940X640X250 NE,0.7,,,TURBILHAO DE INSP. UNIP. LDA.
9,3820006957,40,1600032634,70022972,"PL CC 8703/S21 950X650X70,0 01",S21,2,0,CNMSERPL,1600032635,0.03,0,,,0,70005999,BL CC 8703/ORT 950x650X200 NE,1,,,TURBILHAO DE INSP. UNIP. LDA.
9,3820006957,20,1600032629,70022968,PL CC 8872/S21 940X640X110 01,S21,2,0,CNMSERPL,1600032630,0.03,0,,,0,70005853,BL CC 8872/ORT 940X640X250 NE,1,,,TURBILHAO DE INSP. UNIP. LDA.
9,3820007683,20,1600039837,70023267,"PL CC 9430/S21 605X605X50,0 01",S21,150,0,CNMSERPL,1600040054,2.5,0,,,0,70013449,BL CC 9430/ORT 950X650X200 NE,50.8,,,FARL CORK LDA
9,3820008637,10,1600049516,70023708,"PL CC 8821/2SB 1000X500X13,0 MG",2SB,120,0,,,,0,,,0,70002185,BL CC 8821/000 1030X530X210 NE,8.1,,,"MANUEL DA CONCEIÇÃO GRAÇA, LDA."
9,3820007423,10,1600036901,70007790,"PL CC 8123/S21 940X640X18,0 01",S21,320,0,,,,0,,,0,70005846,BL CC 8123/ORT 950X650X200 NE,32.8,,,"CORTICEIRA VIKING, IMP.EXP. LDA"
9,3820004395,10,1600042502,70003938,"PL CC 8872/S21 950X650X3,0 CV",S21,1 000,0,,,,0,,,0,70005545,BL CC 8872/ORT 950X650X200 NE,17.8,,,"CORTICEIRA VIKING, IMP.EXP. LDA"
9,3820007406,10,1600036877,70003626,"PL CC 8827/S21 940X640X3,0 3D",S21,200,0,,,,0,,,0,70005852,BL CC 8827/ORT 940X640X250 NE,2.8,,,COTTEL. COM
9,3820005490,10,1600024211,70001459,"PL CC 8303/PTH 915X610X5,0 01",PTH,60,0,CNMLAMPL,1600024212,0.12,0,,,0,70005504,BL CC 8303/ORT 915X610X250 NE,1.2,,,OTTOBOCK SE & CO KGAA
9,3820007485,10,1600037956,70011497,"PL CC 8004/E01 1000X500X6,0 01",E01,4 800,0,CNMLAMPL,1600037957,10.93,0,,,0,70005522,BL CC 8004/ORT 1000X500X210 NE,149.9,,,"CORKSRIBAS - IND. GRAN. DE CORTIÇA,"
9,3820007240,20,1600036350,70001787,"PL CC 8004/S11 915X610X4,0 01",S11,300,0,,,,0,,,0,70005498,BL CC 8004/ORT 915X610X250 NE,5.2,,,"CORKSRIBAS - IND. GRAN. DE CORTIÇA,"
9,3820007240,40,1600036354,70002001,"PL CC 8004/S11 915X610X7,0 01",S11,86,0,,,,0,,,0,70005498,BL CC 8004/ORT 915X610X250 NE,2.6,,,"CORKSRIBAS - IND. GRAN. DE CORTIÇA,"
9,3820007074,60,1600033634,70003568,"PL CC 8004/000 915X610X5,6 AS",0,672,0,CNMLAMPL,1600033635,1.47,0,,,0,70005498,BL CC 8004/ORT 915X610X250 NE,15.7,,,"ASIA ALLIANCE INTERNATIONAL CO.,LTD"
9,3820007074,50,1600033632,70003566,"PL CC 8004/000 915X610X4,6 AS",0,816,0,CNMLAMPL,1600033633,1.16,0,,,0,70005498,BL CC 8004/ORT 915X610X250 NE,15.6,,,"ASIA ALLIANCE INTERNATIONAL CO.,LTD"
9,3823000198,20,1600038919,70005914,"PL CC 8403/000 915X610X5,8 01",0,300,0,CNMLAMPL,1600038920,0.68,0,,,0,70005513,BL CC 8403/ORT 915X610X250 NE,7,,,"AMORIM CORK COMPOSITES, INC"
9,3823000073,20,1600032836,70000608,"PL CC 8403/000 915X610X2,6 01",0,2 320,0,CNMLAMPL,1600032837,3.31,0,,,0,70005513,BL CC 8403/ORT 915X610X250 NE,24.7,,,"AMORIM CORK COMPOSITES, INC"
9,3820007312,80,1600037241,70023170,"PL CC 8003/000 940X640X1,7 AS",0,2 464,0,CNMLAMPL,1600037242,4.13,0,,,0,70001618,BL CC 8003/000 940X640X250 NE,17.5,,,"ASIA ALLIANCE INTERNATIONAL CO.,LTD"
9,3820007488,50,1600037986,70010969,"PL CC 8403/XXX  915X610X6,0 03",XXX,1 232,0,CNMLAMPL,1600037987,2.81,0,,,0,70005513,BL CC 8403/ORT 915X610X250 NE,29.1,,,"WE CORK, INC."
9,3820008076,10,1600047026,70000542,"PL CC 8405/000 940X640X0,8 00",0,26 438,0,CNMLAMPL,1600047027,27.91,0,,,0,70001631,BL CC 8405/000 940X640X250 NE,85.6,,,PANDA Y. G. SAN. VE D. T. LTD. S
9,3820007496,30,1600037990,70001993,"PL CC 8057/PTH 1000X500X3,0 AD",PTH,100,0,CNMLAMPL,1600037991,0.16,0,,,0,70005524,BL CC 8057/ORT 1000X500X210 NE,1.5,,,GÖTZ SERVICE GMBH
9,3823000137,40,1600037226,70004337,"PL CC 8403/000 915X610X5,8 04",0,10 200,0,,,,0,,,,,,,,A PARTIR DE 8244,"AMORIM CORK COMPOSITES, INC"
9,3820008286,10,1600050814,70023359,PL CC 8405/000 1030X530X180 ZZ,0,60,0,CNMSERPL,1600050814,1,0,,,0,70005996,BL CC 8405/ORT 1035X535X210 NE,60,,,"CAMILA MOVEIS IND. MOBILIARIO, LDA"
9,3823000068,10,1600036827,70004334,"PL CC 8403/000 915X610X5,8 00",0,14 700,0,,,,0,,,,,,,,A PARTIR DE 8244,"AMORIM CORK COMPOSITES, INC"
9,3820007278,10,1600036472,70003906,"PL CC 8303/S21 940X640X15,0 PT",S21,50,0,,,,0,,,0,70005856,BL CC 8303/ORT 940X640X250 NE,3.4,,,"ALDCORK - COM. CORTIÇAS UNIP., LDA"
9,3820007496,50,1600037994,70001989,"PL CC 8057/PTH 1000X500X5,0 AD",PTH,60,0,CNMLAMPL,1600037995,0.12,0,,,0,70005524,BL CC 8057/ORT 1000X500X210 NE,1.5,,,GÖTZ SERVICE GMBH
9,3823000151,90,1600036414,70004656,"PL CI 5608/000 915X610X12,5 01",0,2 100,0,CNMLAMPL,1600036415,6.46,0,,,0,70005517,BL CI 5608/ORT 915X610X250 NE,108.2,,,"AMORIM CORK COMPOSITES, INC"
9,3820007792,10,1600039812,70006594,"PL CC 8405/000 940X640X6,0 01",0,50,0,CNMLAMPL,1600039813,0.14,0,,,0,70001631,BL CC 8405/000 940X640X250 NE,1.2,,,"HUGAL - INDÚSTRIA DE CALÇADO, LDA"
9,3820007278,20,1600036474,70011020,"PL CC 8303/S21  940X640X9,0 PT",S21,50,0,,,,0,,,0,70005856,BL CC 8303/ORT 940X640X250 NE,1.9,,,"ALDCORK - COM. CORTIÇAS UNIP., LDA"
9,3820007278,30,1600036476,70011026,"PL CC 8303/S21  940X640X5,0 PT",S21,50,0,,,,0,,,0,70005856,BL CC 8303/ORT 940X640X250 NE,1.1,,,"ALDCORK - COM. CORTIÇAS UNIP., LDA"
9,3820007565,20,1600038034,70011568,"PL CC 8004/000  940X640X4,0 01",0,76,0,CNMLAMPL,1600038035,0.16,0,,,0,70001620,BL CC 8004/000 940X640X250 NE,1.3,,,P.P.H.U. ANPLAST ANDRZEJ FRACKOWIAK
9,3820007565,10,1600038032,70011575,"PL CC 8004/000  940X640X10,0 VE",0,160,0,CNMLAMPL,1600038033,0.59,0,,,0,70001620,BL CC 8004/000 940X640X250 NE,6.6,,,P.P.H.U. ANPLAST ANDRZEJ FRACKOWIAK
9,3820007306,10,1600036384,70015103,"PL CC 8004/S21 940X640X31,0 01",S21,18,0,CNMSERPL,1600036386,0.28,0,,,0,70005850,BL CC 8004/ORT 940X640X250 NE,3.1,,,"3DC - INTELLIGENT NATURE, LDA"
