Sem,OV,Item,Embalagem,Código Material,Descrição Material,Acab.,QTD,Total,Serra/Lam,Ordem Prod,Hrs.,Total,Lixadora,Hrs.,Total,BLOCO,Descrição Bloco,QTD,ESTADO,OBSERVAÇÕES
6,3820005824,150,1600028363,70013955,"PL CC 8003/000 915X610X5,0 35",0,600,600,CNMLAMPL,1600028364,1.15,600,,,0,70005497,BL CC 8003/ORT 915X610X250 NE,12.4,OK,
6,3820006596,30,1600030593,70003142,"PL CC 8003/000 915X610X2,5 21",0,720,720,CNMLAMPL,1600030594,1.19,720,,,0,70005497,BL CC 8003/ORT 915X610X250 NE,7.4,OK,
6,3820006596,20,1600030591,70011805,"PL CC 8003/000 915X610X1,6 09",0,800,800,CNMLAMPL,1600030592,1.2,800,,,0,70005497,BL CC 8003/ORT 915X610X250 NE,5.4,OK,
6,3820006596,10,1600030589,70000479,"PL CC 8826/000 915X610X0,8 03",0,750,750,CNMLAMPL,1600030590,0.75,750,,,0,70005507,BL CC 8826/ORT 915X610X250 NE,2.5,OK,
6,3823000017,30,1600028549,70006067,"PL CC 8405/S21 940X640X35,0 01",S21,45,45,CNMSERPL,1600028551,0.12,0,1600028550,0.45,45,70005847,BL CC 8405/ORT 940X640X250 NE,1.4,OK,
6,3820006375,30,1600029936,70021873,"PL CC 8002/000 915X610X12,0 20",0,250,250,CNMLAMPL,1600029937,0.88,250,,,0,70005496,BL CC 8002/ORT 915X610X250 NE,12.8,OK,
6,,0,1600037944,70007310,"PL CC 8003/000 1000X500X10,0 03",0,150,150,CNMLAMPL,1600048222,2.7,150,,,0,70012086,BL CC 8003/ORT 1000X500X210 NE,44.6,OK,
6,3820006158,10,1600028413,70002263,"PL CC 8113/S21 940X640X97,0 01",S21,9,9,CNMSERPL,1600038144,0.2,10 000,1600028414,0.09,9,70012066,BL CC 8113/ORT 950x650X200 NE,4.6,OK,
6,3820006944,30,1600035881,70023077,"PL CC 8003/000 915X610X12,0 16",0,100,100,CNMLAMPL,1600038147,0.35,0,,,0,70005497,BL CC 8003/ORT 915X610X250 NE,5.2,OK,
6,3820006432,20,1600029709,70002227,PL CC 8405/S21 930X630X150 01,S21,4,4,CNMSERPL,1600037940,0.1,5 865,1600029710,0.04,0,70005543,BL CC 8405/ORT 930X630X250 NE,2.7,OK,
6,3820006073,10,1600028383,70002309,"PL CC 8123/000 940X640X75,0 UK",0,4,4,CNMSERPL,1600037438,0.07,10 000,,,0,70005846,BL CC 8123/ORT 950X650X200 NE,2.1,OK,
6,3820006676,50,1600030924,70003795,"PL CC 8003/000 1000X500X5,0 00",0,60,60,CNMLAMPL,1600030925,0.12,60,,,0,70012086,BL CC 8003/ORT 1000X500X210 NE,1.5,OK,
6,3820006375,10,1600029488,70003918,"PL CC 8002/000 915X610X21,0 SP",0,320,320,CNMLAMPL,1600029489,3.64,320,,,0,70005496,BL CC 8002/ORT 915X610X250 NE,29.7,OK,
6,3820005227,70,1600023163,70003941,"PL CC 8872/S21 940X640X75,0 CV",S21,700,700,CNMSERPL,1600023164,12.73,743,1600023163,8.75,700,70005853,BL CC 8872/ORT 940X640X250 NE,240.3,OK,
6,3820006748,30,1600031461,70003056,"PL CC 8303/S21 940X640X25,0 SA",S21,20,20,,,,0,1600031462,0.11,20,70005856,BL CC 8303/ORT 940X640X250 NE,2.2,OK,
6,3820006459,170,1600029824,70001733,"PL CC 8061/000 915X610X5,0 01",0,60,60,CNMLAMPL,1600029825,0.12,60,,,0,70005502,BL CC 8061/ORT 915X610X200 NE,1.6,OK,
6,3820007559,50,1600038015,70004769,"PL CC 8002/000 915X610X10,0 24",0,30,30,CNMLAMPL,1600038016,0.09,30,,,0,70005496,BL CC 8002/ORT 915X610X250 NE,1.2,OK,
6,3820006459,30,1600029773,70000406,"PL CC 8003/000 940X640X3,0 VD",0,200,200,CNMLAMPL,1600029774,0.37,200,,,0,70001618,BL CC 8003/000 940X640X250 NE,2.5,OK,
6,3820006459,40,1600029775,70000409,"PL CC 8303/000 915X610X3,0 VD",0,200,200,CNMLAMPL,1600029776,0.32,200,,,0,70005504,BL CC 8303/ORT 915X610X250 NE,2.4,OK,
6,3820006459,70,1600029787,70000412,"PL CC 8303/000 915X610X10,0 VD",0,1 600,1 600,CNMLAMPL,1600029788,4.76,1 600,,,0,70005504,BL CC 8303/ORT 915X610X250 NE,64.7,OK,
6,3820006459,150,1600029815,70001731,"PL CC 8061/000 915X610X3,0 01",0,100,100,CNMLAMPL,1600029816,0.16,100,,,0,70005502,BL CC 8061/ORT 915X610X200 NE,1.6,OK,
6,3823000082,20,1600032705,70004994,"PL CC 8403/000 915X610X5,8 06",0,1 200,1 200,CNMLAMPL,1600032/706,2.7,1 200,,,,,,,OK,A PARTIR DE 8244
6,3823000081,10,1600032/790,70004994,"PL CC 8403/000 915X610X5,8 06",0,1 200,1 200,CNMLAMPL,1600032/791,2.7,1 200,,,,,,,OK,A PARTIR DE 8244
6,3823000072,20,1600032/834,70004336,"PL CC 8403/000 915X610X5,8 03",0,5 000,5 000,CNMLAMPL,1600032/835,11.4,5 002,,,,,,,OK,A PARTIR DE 8244
6,3823000066,10,1600032/678,70004334,"PL CC 8403/000 915X610X5,8 00",0,7 000,7 000,CNMLAMPL,1600032/679,15.9,6 580,,,,,,,OK,A PARTIR DE 8244
6,3823000081,40,1600032/788,70004336,"PL CC 8403/000 915X610X5,8 03",0,1 600,1 600,CNMLAMPL,1600032/789,3.6,1 600,,,,,,,OK,A PARTIR DE 8244
6,3823000127,10,1600034917,70000351,PL CC 8827/000 940X640X102 01,0,10,10,CNMSERPL,1600034917,0.25,10,,,0,70001632,BL CC 8827/000 940X640X250 NE,5,OK,
6,3820006459,80,1600029792,70000442,"PL CC 8123/000 915X610X3,0 VD",0,50,50,CNMLAMPL,1600029793,0.08,50,,,0,70005503,BL CC 8123/ORT 915X610X200 NE,0.8,OK,
6,3820008072,10,1600042703,70013993,"PL CC 8303/S11 940X640X67,0 AS",S11,37,37,CNMSERPL,1600042705,0.62,37,1600042704,0.37,37,70005856,BL CC 8303/ORT 940X640X250 NE,12.5,OK,
6,3823000082,50,1600048/190,70004336,"PL CC 8403/000 915X610X5,8 03",0,1 600,1 600,CNMLAMPL,1600048161,3.6,1 600,,,,,,,OK,A PARTIR DE 8244
6,3820006459,180,1600029826,70002019,"PL CC 8061/000 915X610X8,0 01",0,40,40,CNMLAMPL,1600029827,0.11,40,,,0,70005502,BL CC 8061/ORT 915X610X200 NE,1.7,OK,
6,3820006459,110,1600029804,70001874,"PL CC 8057/000 1000X500X5,0 02",0,900,900,CNMLAMPL,1600029805,1.72,660,,,0,70005524,BL CC 8057/ORT 1000X500X210 NE,22.1,OK,
6,3820006459,90,1600029796,70000414,"PL CC 8123/000 915X610X5,0 VD",0,450,450,CNMLAMPL,1600029797,0.86,450,,,0,70005503,BL CC 8123/ORT 915X610X200 NE,11.5,OK,
6,3820006459,160,1600029822,70002322,"PL CC 8061/000 915X610X4,0 03",0,76,76,CNMLAMPL,1600029823,0.13,76,,,0,70005502,BL CC 8061/ORT 915X610X200 NE,1.6,OK,
6,3820007396,30,1600036883,70000452,"PL CC 8123/000 940X640X10,0 Z1",0,96,96,CNMLAMPL,1600036884,0.37,96,,,0,70000002,BL CC 8123/000 950X650X200 NE,4.9,OK,
6,3820006459,120,1600047/150,70011362,"PL CC 8057/000 1000X500X6,0 05",0,52,52,CNMLAMPL,1600029811,0.12,52,,,0,70005524,BL CC 8057/ORT 1000X500X210 NE,1.5,OK,
6,3820006452,10,1600029759,70004466,"PL CC 8405/000 1000X500X2,0 07",0,0,0,CNMLAMPL,1600029760,2.69,0,,,0,70005527,BL CC 8405/ORT 1000X500X210 NE,20,OK,Replaneada
6,3820006459,50,1600029779,70000410,"PL CC 8303/000 915X610X5,0 VD",0,2 400,2 400,CNMLAMPL,1600029780,4.6,2 400,,,0,70005504,BL CC 8303/ORT 915X610X250 NE,47.6,OK,
6,3820006452,20,1600029764,70004467,"PL CC 8405/000 1000X500X4,0 05",0,0,0,CNMLAMPL,1600029765,3.74,0,,,0,70005527,BL CC 8405/ORT 1000X500X210 NE,41.4,OK,Replaneada
6,3820006459,60,1600029784,70000411,"PL CC 8303/000 915X610X6,0 VD",0,390,390,CNMLAMPL,1600029786,0.89,390,,,0,70005504,BL CC 8303/ORT 915X610X250 NE,9.4,OK,
6,3820006456,10,1600029769,70000424,"PL CC 8003/000 915X610X10,0 Z3",0,384,384,CNMLAMPL,1600029770,1.14,384,,,0,70005497,BL CC 8003/ORT 915X610X250 NE,15.9,OK,
6,3820006459,100,1600029800,70000415,"PL CC 8123/000 915X610X10,0 VD",0,80,80,CNMLAMPL,1600029801,0.24,80,,,0,70005503,BL CC 8123/ORT 915X610X200 NE,4.1,OK,
6,3820006459,190,1600029828,70003665,"PL CC 8061/000 915X610X10,0 02",0,32,32,CNMLAMPL,1600029829,0.1,32,,,0,70005502,BL CC 8061/ORT 915X610X200 NE,1.7,OK,
6,3820007685,10,1600039707,70000570,"PL CC 8512/S11 915X610X3,0 02",S11,800,0,,,,0,1600039708,1.78,703,70005511,BL CC 8512/ORT 915X610X200 NE,13.1,,
6,3820006478,10,1600029844,70000581,"PL CC 8123/000 915X610X3,0 03",0,400,400,CNMLAMPL,1600029845,0.65,400,,,0,70005503,BL CC 8123/ORT 915X610X200 NE,6.2,OK,
6,3823000072,10,1600032832,70004331,"PL CC 8403/000 915X610X3,8 00",0,3 800,3 800,CNMLAMPL,1600032833,8.52,3 859,,,0,70005513,BL CC 8403/ORT 915X610X250 NE,59.1,OK,
6,3820007487,10,1600037966,70000452,"PL CC 8123/000 940X640X10,0 Z1",0,32,32,CNMLAMPL,1600037967,0.12,32,,,0,70000002,BL CC 8123/000 950X650X200 NE,1.6,OK,
6,3820007685,20,1600039710,70003669,"PL CC 8747/S11 915X610X10,0 02",S11,180,180,,,,0,1600039711,0.51,180,70005510,BL CC 8747/ORT 915X610X200 NE,9.6,OK,
6,3823000066,20,1600032680,70001797,"PL CC 8403/000 915X610X12,5 01",0,3 850,3 850,CNMLAMPL,1600032681,11.85,3 865,,,0,70005513,BL CC 8403/ORT 915X610X250 NE,194.4,OK,
6,3820007396,10,1600036881,70000424,"PL CC 8003/000 915X610X10,0 Z3",0,384,384,CNMLAMPL,1600036882,1.14,384,,,0,70005497,BL CC 8003/ORT 915X610X250 NE,15.9,OK,
6,3823000126,80,1600035087,70001797,"PL CC 8403/000 915X610X12,5 01",0,9 750,9 750,CNMLAMPL,1600035088,30,9 750,,,0,70005513,BL CC 8403/ORT 915X610X250 NE,492.4,OK,
6,3820007759,0000/020,1600045001,70014/371,"PL CC 8405/000 1000X500X3,0 09",0,9 667,9 672,CNMLAMPL,1600045002,15.5,6 867,,,,,,,OK,
6,3820007759,10,1600039/774,70014/000,"PL CC 8405/000 1000X500X5,0 02",0,4 608,4 608,CNMLAMPL,1600039775,8.8,4 608,,,0,,,,OK,
6,3823000/032,0000/060,1600041/862,70010566,"PL CC 8781/000 915X610X19,0 01",0,96,96,CNMSERPL,1600041863,1.6,96,,,,,,,OK,
6,3820005546,0000/070,1600024/667,70007789,"PL CC 8405/S21 940X640X44,0 01",S21,1 020,1 020,CNMSERPL,1600024/668,17,1 020,1600024/667,12.75,1 020,70005847,BL CC 8405/ORT 940X640X250 NE,206.4,OK,
6,3820007556,0000/010,1600038/915,70004663,"PL CC 8002/000 915X610X50,0 07",0,720,720,CNMSERPL,1600038916,,720,,,,,,,OK,
