SEM,Ordem Venda,Item,Ordem Produção,Hrs,Código Material,Descrição Material,Acab.,QTD,Total,Centro trabalho,Bloco,,QTD BL.,ESTADO,PRIORIDADE,Data solicitada
9,3820008/333,0000/020,1600047834,2.87,70000/104,"PL CC 8405/S21 940X640X13,0 NE",S21,1 005,0,CNMLAMLX,70005847,BL CC 8405/ORT 940X640X250 NE,57,,,Até 05/03/2021
9,3820007/761,0000/010,1600041097,0.06,70010/620,"PL CC 8703/S21 940X640X12,0 NE",S21,34,0,CNMLAMLX,70010644,"PL CC 8703/000 940X640X14,0 NE",34,,,Até 05/03/2021
9,3820007/761,0000/010,1600041098,0.57,70010/644,"PL CC 8703/000 940X640X14,0 NE",0,34,0,CNMSERPL,70005999,BL CC 8703/ORT 950x650X200 NE,3.1,,,Até 05/03/2021
9,3823000/134,0000/010,1600041246,0.58,70000/106,"PL CC 8003/S11 940X640X6,0 NE",S11,260,0,CNMLAMLX,70005845,BL CC 8003/ORT 940X640X250 NE,7,,,Até 05/03/2021
9,3823000/267,0000/040,1600046088,2.6,70000/018,"PL CC 8003/000 940X640X2,0 NE",0,1 801,0,CNMLAMPL,70001618,BL CC 8003/000 940X640X250 NE,14.9,,,Até 05/03/2021
9,Make To Stock,0000/000,1600050283,11.41,70007/161,"RL CI 5080/000 1000X1,8 NE",0,10 909,0,CNMLAMMA,70006849,CL CI 5080 1067X950 NE,31.4,,,Até 05/03/2021
9,Make To Stock,0000/000,1600049427,18.61,70015/466,"PL CC 8745/S21 800X600X9,7 NE",S21,9 305,0,CNMLAMLX,70021759,BL CC 8745/000 800X600X210 NE,476.9,,,Até 05/03/2021
9,3820008/617,0000/010,1600050116,0.57,70023/583,"PL CC 8245/000 2440X1220X3,0 NE",0,100,0,CNMSHT01,70023582,"RL CC 8245/000 1220X3,0 NE",248,,,Até 05/03/2021
9,3820008/617,0000/010,1600050117,0.69,70023/582,"RL CC 8245/000 1220X3,0 NE",0,248,0,CNMLAMRL,70002819,CL CC 8245 1220X1100 NE,0.9,,,Até 05/03/2021
9,3820008/505,0000/040,1600050005,0.01,70004/398,"PL CC P050/S21 1270X765X6,0 NE",S21,1,0,CNMLAMLX,70003289,BL CC P050/000 1270X762X152,0.1,,3,03/02/2021
9,3820006/786,0000/070,1600050107,0.04,70004/002,"RL CC 8245/000 1000X1,2 NE",0,19,0,CNMLAMRL,70002808,CL CC 8245 1000X1100 NE,0,,,Até 05/03/2021
9,3820008/604,0000/010,1600050110,1.25,70000/044,"RL CC 8244/000 500X3,0 NE",0,750,0,CNMLAMRL,70002812,CL CC 8244 1000X1100 NE,1.3,,,Até 05/03/2021
9,3820008/626,0000/010,1600050199,0.31,70000/015,"PL CC 8002/000 940X640X5,0 NE",0,161,0,CNMLAMPL,70001617,BL CC 8002/000 940X640X250 NE,3.3,,,Até 05/03/2021
9,3820008/638,0000/010,1600050222,6.67,70006/348,"PL CC 8781/000 1500X530X10,0 NE",0,1 000,0,CNMLAMPL,70012006,BL CC 8781/000 1500X530X210 NE,50.5,,,Até 05/03/2021
9,3820008/638,0000/010,1600050223,0.89,70012/006,BL CC 8781/000 1500X530X210 NE,0,50,0,CNMCOLBL,70012005,BL CC 8781/ORT 1005X530X210 NE,50.9,,,Até 05/03/2021
9,3820008/638,0000/010,1600050223,0.89,70012/006,BL CC 8781/000 1500X530X210 NE,0,50,0,CNMCOLBL,70012002,BL CC 8781/000 530X500X210 NE,50.9,,,Até 05/03/2021
